,game_variant,algorithm,depths,rounds,time,starting_player,winner
0,Nim,ExpectiMax,[11  9],0.37041519999911543,15,2,1
1,Nim,ExpectiMax,[11  9],0.40021039999919594,18,1,1
2,Nim,ExpectiMax,[11  9],0.357042999999976,15,2,1
3,Nim,ExpectiMax,[11  9],0.4861756999998761,18,1,1
4,Nim,ExpectiMax,[11  9],0.3587262000000919,15,2,1
5,Nim,ExpectiMax,[11  9],0.3864314000002196,18,1,1
6,Nim,ExpectiMax,[11  9],0.35243269999955373,15,2,1
7,Nim,ExpectiMax,[11  9],0.3827896000002511,18,1,1
8,Nim,ExpectiMax,[11  9],0.3527942999990046,15,2,1
9,Nim,ExpectiMax,[11  9],0.38435480000043754,18,1,1
10,Nim,ExpectiMax,[11  9],0.35676670000066224,15,2,1
11,Nim,ExpectiMax,[11  9],0.3857750999995915,18,1,1
12,Nim,ExpectiMax,[11  9],0.35776459999942745,15,2,1
13,Nim,ExpectiMax,[11  9],0.3897859000007884,18,1,1
14,Nim,ExpectiMax,[11  9],0.4460331000009319,15,2,1
15,Nim,ExpectiMax,[11  9],0.3889780999998038,18,1,1
16,Nim,ExpectiMax,[11  9],0.3584622999987914,15,2,1
17,Nim,ExpectiMax,[11  9],0.3913247999989835,18,1,1
18,Nim,ExpectiMax,[11  9],0.36126100000001315,15,2,1
19,Nim,ExpectiMax,[11  9],0.3916711000001669,18,1,1
20,Nim,ExpectiMax,[6 8],0.2662319999999454,16,2,2
21,Nim,ExpectiMax,[6 8],0.24088250000022526,15,1,2
22,Nim,ExpectiMax,[6 8],0.2680604000015592,16,2,2
23,Nim,ExpectiMax,[6 8],0.24161410000124306,15,1,2
24,Nim,ExpectiMax,[6 8],0.2687461000004987,16,2,2
25,Nim,ExpectiMax,[6 8],0.24045640000076673,15,1,2
26,Nim,ExpectiMax,[6 8],0.2671178999989934,16,2,2
27,Nim,ExpectiMax,[6 8],0.2382121000009647,15,1,2
28,Nim,ExpectiMax,[6 8],0.3593908000002557,16,2,2
29,Nim,ExpectiMax,[6 8],0.23451340000065102,15,1,2
30,Nim,ExpectiMax,[6 8],0.2618767999992997,16,2,2
31,Nim,ExpectiMax,[6 8],0.23775019999993674,15,1,2
32,Nim,ExpectiMax,[6 8],0.2629440999990038,16,2,2
33,Nim,ExpectiMax,[6 8],0.23273479999988922,15,1,2
34,Nim,ExpectiMax,[6 8],0.2608857999985048,16,2,2
35,Nim,ExpectiMax,[6 8],0.23798200000055658,15,1,2
36,Nim,ExpectiMax,[6 8],0.2594389999994746,16,2,2
37,Nim,ExpectiMax,[6 8],0.234351199998855,15,1,2
38,Nim,ExpectiMax,[6 8],0.26142909999907715,16,2,2
39,Nim,ExpectiMax,[6 8],0.2342450000014651,15,1,2
40,Nimby,ExpectiMax,[11  9],0.4034625000003871,20,2,2
41,Nimby,ExpectiMax,[11  9],0.4243880999983958,18,1,1
42,Nimby,ExpectiMax,[11  9],0.4426834999994753,15,2,1
43,Nimby,ExpectiMax,[11  9],0.38751910000064527,17,1,2
44,Nimby,ExpectiMax,[11  9],0.37371689999963564,16,2,2
45,Nimby,ExpectiMax,[11  9],0.3871134000000893,18,1,1
46,Nimby,ExpectiMax,[11  9],0.4680549000004248,20,2,2
47,Nimby,ExpectiMax,[11  9],0.3981992999997601,19,1,2
48,Nimby,ExpectiMax,[11  9],0.35432439999931375,15,2,1
49,Nimby,ExpectiMax,[11  9],0.4404604000010295,18,1,1
50,Nimby,ExpectiMax,[11  9],0.3714842999997927,16,2,2
51,Nimby,ExpectiMax,[11  9],0.3780062999994698,16,1,1
52,Nimby,ExpectiMax,[11  9],0.3784089999990101,15,2,1
53,Nimby,ExpectiMax,[11  9],0.4844935000000987,18,1,1
54,Nimby,ExpectiMax,[11  9],0.4234461999985797,21,2,1
55,Nimby,ExpectiMax,[11  9],0.4011561999996047,18,1,1
56,Nimby,ExpectiMax,[11  9],0.3506299000000581,15,2,1
57,Nimby,ExpectiMax,[11  9],0.3931450000000041,19,1,2
58,Nimby,ExpectiMax,[11  9],0.3504007999999885,15,2,1
59,Nimby,ExpectiMax,[11  9],0.37983470000108355,18,1,1
60,Nimby,ExpectiMax,[6 8],0.2612295000017184,16,2,2
61,Nimby,ExpectiMax,[6 8],0.30491500000061933,17,1,2
62,Nimby,ExpectiMax,[6 8],0.2804187000001548,18,2,2
63,Nimby,ExpectiMax,[6 8],0.3165518999994674,18,1,1
64,Nimby,ExpectiMax,[6 8],0.28101090000018303,18,2,2
65,Nimby,ExpectiMax,[6 8],0.32515779999994265,16,1,1
66,Nimby,ExpectiMax,[6 8],0.2901406000000861,19,2,1
67,Nimby,ExpectiMax,[6 8],0.2551767999993899,17,1,2
68,Nimby,ExpectiMax,[6 8],0.25358439999945404,15,2,1
69,Nimby,ExpectiMax,[6 8],0.3225447000004351,18,1,1
70,Nimby,ExpectiMax,[6 8],0.267533000000185,16,2,2
71,Nimby,ExpectiMax,[6 8],0.23987530000158586,15,1,2
72,Nimby,ExpectiMax,[6 8],0.33722019999913755,19,2,1
73,Nimby,ExpectiMax,[6 8],0.32996080000157235,19,1,2
74,Nimby,ExpectiMax,[6 8],0.28071149999959744,17,2,1
75,Nimby,ExpectiMax,[6 8],0.25188729999899806,16,1,1
76,Nimby,ExpectiMax,[6 8],0.3605573999993794,20,2,2
77,Nimby,ExpectiMax,[6 8],0.31833580000056827,17,1,2
78,Nimby,ExpectiMax,[6 8],0.3012802000012016,16,2,2
79,Nimby,ExpectiMax,[6 8],0.3620805999998993,17,1,2
80,Nim,NoPruningNegamax,[11  9],0.48578160000033677,15,2,1
81,Nim,NoPruningNegamax,[11  9],0.5125256999999692,16,1,1
82,Nim,NoPruningNegamax,[11  9],0.4919577999989997,15,2,1
83,Nim,NoPruningNegamax,[11  9],0.5058346000005258,16,1,1
84,Nim,NoPruningNegamax,[11  9],0.48357389999910083,15,2,1
85,Nim,NoPruningNegamax,[11  9],0.500595900000917,16,1,1
86,Nim,NoPruningNegamax,[11  9],0.4801346000003832,15,2,1
87,Nim,NoPruningNegamax,[11  9],0.5004475999994611,16,1,1
88,Nim,NoPruningNegamax,[11  9],0.4802909999998519,15,2,1
89,Nim,NoPruningNegamax,[11  9],0.5799848999995447,16,1,1
90,Nim,NoPruningNegamax,[11  9],0.47715790000074776,15,2,1
91,Nim,NoPruningNegamax,[11  9],0.5154548999998951,16,1,1
92,Nim,NoPruningNegamax,[11  9],0.5026928000006592,15,2,1
93,Nim,NoPruningNegamax,[11  9],0.5588029000009556,16,1,1
94,Nim,NoPruningNegamax,[11  9],0.5072839000004024,15,2,1
95,Nim,NoPruningNegamax,[11  9],0.5247172999988834,16,1,1
96,Nim,NoPruningNegamax,[11  9],0.5025682000014058,15,2,1
97,Nim,NoPruningNegamax,[11  9],0.5225138000005245,16,1,1
98,Nim,NoPruningNegamax,[11  9],0.49969880000026023,15,2,1
99,Nim,NoPruningNegamax,[11  9],0.6072554999991553,16,1,1
100,Nim,NoPruningNegamax,[6 8],0.44966589999967255,18,2,2
101,Nim,NoPruningNegamax,[6 8],0.4578454000002239,19,1,2
102,Nim,NoPruningNegamax,[6 8],0.451668099998642,18,2,2
103,Nim,NoPruningNegamax,[6 8],0.4485699000015302,19,1,2
104,Nim,NoPruningNegamax,[6 8],0.4400291999991168,18,2,2
105,Nim,NoPruningNegamax,[6 8],0.4460351999987324,19,1,2
106,Nim,NoPruningNegamax,[6 8],0.4402327999996487,18,2,2
107,Nim,NoPruningNegamax,[6 8],0.44817610000063723,19,1,2
108,Nim,NoPruningNegamax,[6 8],0.44501780000064173,18,2,2
