,episodes,reward
0,0,9.0
1,0,6.0
2,0,6.0
3,0,7.0
4,0,7.0
5,1,6.0
6,1,8.0
7,1,6.0
8,1,7.0
9,1,11.0
10,2,6.0
11,2,7.0
12,2,9.0
13,2,4.0
14,2,6.0
15,3,7.0
16,3,5.0
17,3,19.0
18,3,7.0
19,3,8.0
20,4,8.0
21,4,4.0
22,4,10.0
23,4,6.0
24,4,13.0
25,5,11.0
26,5,15.0
27,5,7.0
28,5,7.0
29,5,4.0
30,6,12.0
31,6,8.0
32,6,10.0
33,6,5.0
34,6,5.0
35,7,11.0
36,7,6.0
37,7,5.0
38,7,13.0
39,7,10.0
40,8,8.0
41,8,7.0
42,8,11.0
43,8,6.0
44,8,5.0
45,9,10.0
46,9,5.0
47,9,6.0
48,9,4.0
49,9,10.0
50,10,11.0
51,10,7.0
52,10,6.0
53,10,4.0
54,10,8.0
55,11,7.0
56,11,5.0
57,11,10.0
58,11,4.0
59,11,8.0
60,12,15.0
61,12,6.0
62,12,5.0
63,12,7.0
64,12,5.0
65,13,5.0
66,13,8.0
67,13,4.0
68,13,7.0
69,13,6.0
70,14,6.0
71,14,6.0
72,14,16.0
73,14,8.0
74,14,21.0
75,15,6.0
76,15,6.0
77,15,10.0
78,15,9.0
79,15,7.0
80,16,12.0
81,16,23.0
82,16,6.0
83,16,8.0
84,16,10.0
85,17,14.0
86,17,10.0
87,17,6.0
88,17,10.0
89,17,16.0
90,18,22.0
91,18,8.0
92,18,9.0
93,18,16.0
94,18,6.0
95,19,15.0
96,19,7.0
97,19,5.0
98,19,7.0
99,19,9.0
100,20,9.0
101,20,12.0
102,20,8.0
103,20,12.0
104,20,19.0
105,21,9.0
106,21,22.0
107,21,18.0
108,21,6.0
109,21,7.0
110,22,9.0
111,22,6.0
112,22,6.0
113,22,8.0
114,22,12.0
115,23,8.0
116,23,7.0
117,23,13.0
118,23,11.0
119,23,9.0
120,24,4.0
121,24,12.0
122,24,8.0
123,24,7.0
124,24,11.0
125,25,8.0
126,25,4.0
127,25,6.0
128,25,9.0
129,25,8.0
130,26,15.0
131,26,7.0
132,26,9.0
133,26,10.0
134,26,21.0
135,27,7.0
136,27,10.0
137,27,6.0
138,27,13.0
139,27,7.0
140,28,7.0
141,28,15.0
142,28,9.0
143,28,32.0
144,28,5.0
145,29,11.0
146,29,14.0
147,29,9.0
148,29,6.0
149,29,5.0
150,30,7.0
151,30,10.0
152,30,12.0
153,30,5.0
154,30,10.0
155,31,8.0
156,31,12.0
157,31,5.0
158,31,6.0
159,31,13.0
160,32,8.0
161,32,6.0
162,32,11.0
163,32,6.0
164,32,7.0
165,33,10.0
166,33,6.0
167,33,13.0
168,33,9.0
169,33,13.0
170,34,7.0
171,34,7.0
172,34,6.0
173,34,6.0
174,34,9.0
175,35,6.0
176,35,6.0
177,35,12.0
178,35,13.0
179,35,5.0
180,36,7.0
181,36,10.0
182,36,8.0
183,36,6.0
184,36,6.0
185,37,17.0
186,37,8.0
187,37,7.0
188,37,5.0
189,37,5.0
190,38,11.0
191,38,5.0
192,38,7.0
193,38,6.0
194,38,21.0
195,39,7.0
196,39,15.0
197,39,4.0
198,39,9.0
199,39,20.0
200,40,8.0
201,40,7.0
202,40,7.0
203,40,16.0
204,40,9.0
205,41,13.0
206,41,10.0
207,41,6.0
208,41,7.0
209,41,8.0
210,42,9.0
211,42,8.0
212,42,15.0
213,42,20.0
214,42,16.0
215,43,14.0
216,43,22.0
217,43,8.0
218,43,6.0
219,43,28.0
220,44,10.0
221,44,6.0
222,44,9.0
223,44,7.0
224,44,9.0
225,45,8.0
226,45,5.0
227,45,8.0
228,45,13.0
229,45,7.0
230,46,9.0
231,46,5.0
232,46,7.0
233,46,7.0
234,46,10.0
235,47,8.0
236,47,13.0
237,47,6.0
238,47,5.0
239,47,11.0
240,48,9.0
241,48,13.0
242,48,21.0
243,48,4.0
244,48,8.0
245,49,13.0
246,49,5.0
247,49,13.0
248,49,7.0
249,49,11.0
250,50,8.0
251,50,4.0
252,50,5.0
253,50,11.0
254,50,26.0
255,51,14.0
256,51,6.0
257,51,9.0
258,51,6.0
259,51,4.0
260,52,5.0
261,52,14.0
262,52,12.0
263,52,7.0
264,52,20.0
265,53,18.0
266,53,5.0
267,53,6.0
268,53,9.0
269,53,4.0
270,54,9.0
271,54,9.0
272,54,10.0
273,54,11.0
274,54,13.0
275,55,8.0
276,55,11.0
277,55,9.0
278,55,27.0
279,55,15.0
280,56,10.0
281,56,10.0
282,56,8.0
283,56,5.0
284,56,23.0
285,57,12.0
286,57,19.0
287,57,10.0
288,57,11.0
289,57,13.0
290,58,9.0
291,58,12.0
292,58,6.0
293,58,9.0
294,58,24.0
295,59,18.0
296,59,6.0
297,59,6.0
298,59,11.0
299,59,9.0
300,60,6.0
301,60,13.0
302,60,12.0
303,60,11.0
304,60,5.0
305,61,13.0
306,61,9.0
307,61,8.0
308,61,16.0
309,61,37.0
310,62,13.0
311,62,9.0
312,62,8.0
313,62,7.0
314,62,6.0
315,63,25.0
316,63,6.0
317,63,8.0
318,63,12.0
319,63,8.0
320,64,7.0
321,64,22.0
322,64,6.0
323,64,6.0
324,64,6.0
325,65,5.0
326,65,11.0
327,65,18.0
328,65,7.0
329,65,11.0
330,66,8.0
331,66,12.0
332,66,6.0
333,66,6.0
334,66,10.0
335,67,14.0
336,67,8.0
337,67,6.0
338,67,6.0
339,67,12.0
340,68,11.0
341,68,7.0
342,68,12.0
343,68,8.0
344,68,13.0
345,69,29.0
346,69,5.0
347,69,10.0
348,69,16.0
349,69,27.0
350,70,12.0
351,70,8.0
352,70,7.0
353,70,11.0
354,70,8.0
355,71,9.0
356,71,4.0
357,71,11.0
358,71,11.0
359,71,14.0
360,72,6.0
361,72,5.0
362,72,6.0
363,72,9.0
364,72,10.0
365,73,15.0
366,73,6.0
367,73,7.0
368,73,6.0
369,73,14.0
370,74,11.0
371,74,6.0
372,74,7.0
373,74,8.0
374,74,16.0
375,75,13.0
376,75,14.0
377,75,10.0
378,75,10.0
379,75,7.0
380,76,8.0
381,76,23.0
382,76,5.0
383,76,17.0
384,76,17.0
385,77,10.0
386,77,6.0
387,77,13.0
388,77,6.0
389,77,36.0
390,78,12.0
391,78,9.0
392,78,8.0
393,78,13.0
394,78,8.0
395,79,11.0
396,79,6.0
397,79,10.0
398,79,15.0
399,79,12.0
400,80,11.0
401,80,12.0
402,80,6.0
403,80,7.0
404,80,17.0
405,81,8.0
406,81,7.0
407,81,7.0
408,81,8.0
409,81,8.0
410,82,10.0
411,82,7.0
412,82,11.0
413,82,18.0
414,82,28.0
415,83,7.0
416,83,9.0
417,83,12.0
418,83,7.0
419,83,10.0
420,84,8.0
421,84,16.0
422,84,10.0
423,84,19.0
424,84,21.0
425,85,15.0
426,85,7.0
427,85,5.0
428,85,8.0
429,85,14.0
430,86,14.0
431,86,5.0
432,86,23.0
433,86,9.0
434,86,18.0
435,87,14.0
436,87,14.0
437,87,11.0
438,87,23.0
439,87,22.0
440,88,16.0
441,88,12.0
442,88,10.0
443,88,6.0
444,88,7.0
445,89,20.0
446,89,13.0
447,89,8.0
448,89,6.0
449,89,9.0
450,90,6.0
451,90,15.0
452,90,7.0
453,90,7.0
454,90,7.0
455,91,14.0
456,91,6.0
457,91,6.0
458,91,8.0
459,91,8.0
460,92,38.0
461,92,31.0
462,92,10.0
463,92,5.0
464,92,24.0
465,93,7.0
466,93,15.0
467,93,7.0
468,93,8.0
469,93,28.0
470,94,7.0
471,94,8.0
472,94,4.0
473,94,7.0
474,94,8.0
475,95,6.0
476,95,5.0
477,95,10.0
478,95,7.0
479,95,18.0
480,96,9.0
481,96,10.0
482,96,7.0
483,96,21.0
484,96,12.0
485,97,11.0
486,97,15.0
487,97,9.0
488,97,15.0
489,97,11.0
490,98,7.0
491,98,10.0
492,98,5.0
493,98,11.0
494,98,8.0
495,99,6.0
496,99,6.0
497,99,8.0
498,99,7.0
499,99,7.0
500,100,6.0
501,100,9.0
502,100,14.0
503,100,12.0
504,100,5.0
505,101,5.0
506,101,9.0
507,101,15.0
508,101,12.0
509,101,12.0
510,102,5.0
511,102,9.0
512,102,10.0
513,102,22.0
514,102,13.0
515,103,25.0
516,103,15.0
517,103,9.0
518,103,17.0
519,103,25.0
520,104,25.0
521,104,15.0
522,104,6.0
523,104,8.0
524,104,8.0
525,105,8.0
526,105,25.0
527,105,23.0
528,105,9.0
529,105,7.0
530,106,6.0
531,106,11.0
532,106,10.0
533,106,10.0
534,106,13.0
535,107,5.0
536,107,6.0
537,107,8.0
538,107,7.0
539,107,31.0
540,108,14.0
541,108,10.0
542,108,18.0
543,108,8.0
544,108,20.0
545,109,8.0
546,109,7.0
547,109,8.0
548,109,7.0
549,109,19.0
550,110,14.0
551,110,4.0
552,110,7.0
553,110,7.0
554,110,15.0
555,111,8.0
556,111,9.0
557,111,17.0
558,111,9.0
559,111,16.0
560,112,13.0
561,112,14.0
562,112,12.0
563,112,7.0
564,112,23.0
565,113,7.0
566,113,7.0
567,113,15.0
568,113,11.0
569,113,32.0
570,114,10.0
571,114,5.0
572,114,5.0
573,114,6.0
574,114,31.0
575,115,17.0
576,115,11.0
577,115,9.0
578,115,21.0
579,115,16.0
580,116,14.0
581,116,9.0
582,116,10.0
583,116,10.0
584,116,12.0
585,117,11.0
586,117,5.0
587,117,9.0
588,117,19.0
589,117,6.0
590,118,8.0
591,118,7.0
592,118,6.0
593,118,17.0
594,118,46.0
595,119,16.0
596,119,9.0
597,119,17.0
598,119,11.0
599,119,16.0
600,120,11.0
601,120,7.0
602,120,11.0
603,120,10.0
604,120,18.0
605,121,10.0
606,121,7.0
607,121,10.0
608,121,9.0
609,121,21.0
610,122,8.0
611,122,9.0
612,122,6.0
613,122,28.0
614,122,10.0
615,123,10.0
616,123,23.0
617,123,18.0
618,123,8.0
619,123,5.0
620,124,5.0
621,124,7.0
622,124,5.0
623,124,16.0
624,124,49.0
625,125,23.0
626,125,6.0
627,125,6.0
628,125,25.0
629,125,8.0
630,126,12.0
631,126,8.0
632,126,6.0
633,126,27.0
634,126,6.0
635,127,9.0
636,127,8.0
637,127,18.0
638,127,7.0
639,127,27.0
640,128,11.0
641,128,8.0
642,128,6.0
643,128,6.0
644,128,45.0
645,129,8.0
646,129,14.0
647,129,12.0
648,129,32.0
649,129,9.0
650,130,18.0
651,130,7.0
652,130,8.0
653,130,12.0
654,130,25.0
655,131,9.0
656,131,9.0
657,131,6.0
658,131,11.0
659,131,4.0
660,132,15.0
661,132,9.0
662,132,8.0
663,132,8.0
664,132,17.0
665,133,26.0
666,133,21.0
667,133,13.0
668,133,9.0
669,133,12.0
670,134,16.0
671,134,14.0
672,134,4.0
673,134,21.0
674,134,18.0
675,135,16.0
676,135,10.0
677,135,8.0
678,135,16.0
679,135,21.0
680,136,10.0
681,136,13.0
682,136,12.0
683,136,16.0
684,136,6.0
685,137,13.0
686,137,11.0
687,137,14.0
688,137,17.0
689,137,8.0
690,138,7.0
691,138,7.0
692,138,6.0
693,138,11.0
694,138,13.0
695,139,6.0
696,139,15.0
697,139,6.0
698,139,8.0
699,139,16.0
700,140,14.0
701,140,9.0
702,140,6.0
703,140,9.0
704,140,16.0
705,141,6.0
706,141,14.0
707,141,13.0
708,141,23.0
709,141,14.0
710,142,13.0
711,142,13.0
712,142,8.0
713,142,12.0
714,142,6.0
715,143,11.0
716,143,32.0
717,143,9.0
718,143,6.0
719,143,9.0
720,144,18.0
721,144,8.0
722,144,15.0
723,144,5.0
724,144,25.0
725,145,19.0
726,145,10.0
727,145,10.0
728,145,9.0
729,145,18.0
730,146,7.0
731,146,8.0
732,146,10.0
733,146,9.0
734,146,27.0
735,147,20.0
736,147,8.0
737,147,6.0
738,147,55.0
739,147,17.0
740,148,20.0
741,148,9.0
742,148,8.0
743,148,11.0
744,148,11.0
745,149,7.0
746,149,11.0
747,149,8.0
748,149,5.0
749,149,12.0
750,150,8.0
751,150,5.0
752,150,11.0
753,150,10.0
754,150,15.0
755,151,7.0
756,151,10.0
757,151,7.0
758,151,10.0
759,151,7.0
760,152,26.0
761,152,15.0
762,152,6.0
763,152,18.0
764,152,19.0
765,153,8.0
766,153,11.0
767,153,20.0
768,153,22.0
769,153,10.0
