,episodes,reward
0,0,-51.136726
1,0,-64.623505
2,0,-74.32773
3,0,-85.077774
4,0,-57.92034
5,1,-62.48704
6,1,-59.972313
7,1,-76.06955
8,1,-55.73008
9,1,-58.28728
10,2,-46.98559
11,2,-62.027267
12,2,-58.176563
13,2,-86.8628
14,2,-63.105118
15,3,-50.956646
16,3,-61.366344
17,3,-55.178875
18,3,-63.890903
19,3,-59.384552
20,4,-50.59806
21,4,-58.424213
22,4,-64.96523
23,4,-53.975365
24,4,-55.96217
25,5,-49.25375
26,5,-64.48224
27,5,-71.9589
28,5,-67.880264
29,5,-47.458122
30,6,-53.201622
31,6,-52.51358
32,6,-55.391518
33,6,-74.36362
34,6,-54.64308
35,7,-60.014652
36,7,-71.16283
37,7,-51.103397
38,7,-70.01975
39,7,-48.75497
40,8,-48.76659
41,8,-58.49511
42,8,-71.15691
43,8,-63.864597
44,8,-59.735874
45,9,-46.419235
46,9,-72.97994
47,9,-64.39354
48,9,-72.45123
49,9,-53.502365
50,10,-47.994453
51,10,-64.14504
52,10,-64.757774
53,10,-69.38755
54,10,-41.401722
55,11,-48.365658
56,11,-63.437546
57,11,-37.07796
58,11,-58.729473
59,11,-59.028175
60,12,-49.70773
61,12,-64.245544
62,12,-44.52904
63,12,-65.83648
64,12,-48.8909
65,13,-43.68333
66,13,-48.127766
67,13,-71.08023
68,13,-70.28814
69,13,-51.775
70,14,-44.046913
71,14,-57.060783
72,14,-58.30758
73,14,-63.19264
74,14,-58.94707
75,15,-31.620672
76,15,-64.26163
77,15,-57.14031
78,15,-61.675995
79,15,-43.71035
80,16,-52.650597
81,16,-44.294125
82,16,-47.470875
83,16,-49.963757
84,16,-47.754444
85,17,-49.58143
86,17,-60.981743
87,17,-50.905865
88,17,-51.175163
89,17,-53.96388
90,18,-41.184635
91,18,-68.47826
92,18,-43.0358
93,18,-57.57787
94,18,-48.848553
95,19,-44.486088
96,19,-56.142803
97,19,-49.201385
98,19,-65.52144
99,19,-62.17199
100,20,-48.69604
101,20,-62.09244
102,20,-46.13892
103,20,-76.92788
104,20,-50.713295
105,21,-45.596043
106,21,-57.294624
107,21,-68.594086
108,21,-66.01847
109,21,-45.727135
110,22,-36.94252
111,22,-38.765057
112,22,-52.279686
113,22,-60.635433
114,22,-50.53825
115,23,-61.865208
116,23,-50.0786
117,23,-41.804672
118,23,-62.77923
119,23,-50.241188
120,24,-38.504883
121,24,-58.212864
122,24,-55.49735
123,24,-64.991
124,24,-52.600777
125,25,-40.237778
126,25,-71.69894
127,25,-52.74634
128,25,-79.8387
129,25,-46.206493
130,26,-61.64974
131,26,-68.99868
132,26,-77.78299
133,26,-54.64362
134,26,-45.957035
135,27,-33.269524
136,27,-89.562195
137,27,-74.76812
138,27,-69.107735
139,27,-38.686337
140,28,-46.369625
141,28,-74.6543
142,28,-50.31015
143,28,-64.13697
144,28,-42.725746
145,29,-38.634167
146,29,-49.922256
147,29,-64.932274
148,29,-67.19525
149,29,-48.487213
150,30,-49.70713
151,30,-45.776398
152,30,-53.879585
153,30,-63.63164
154,30,-37.763332
155,31,-34.15085
156,31,-58.546135
157,31,-59.325474
158,31,-56.89586
159,31,-60.10573
160,32,-33.41339
161,32,-66.50928
162,32,-58.4514
163,32,-69.107155
164,32,-45.207043
165,33,-35.83309
166,33,-45.240265
167,33,-43.482033
168,33,-59.18696
169,33,-42.991173
170,34,-35.150177
171,34,-64.98379
172,34,-54.645393
173,34,-64.48224
174,34,-58.08056
175,35,-39.493595
176,35,-66.05871
177,35,-61.726715
178,35,-49.87037
179,35,-35.280144
180,36,-30.898851
181,36,-50.11125
182,36,-60.318333
183,36,-61.18233
184,36,-38.254574
185,37,-35.465534
186,37,-43.806686
187,37,-48.17938
188,37,-64.69241
189,37,-40.107002
190,38,-47.267838
191,38,-55.316868
192,38,-46.349777
193,38,-69.66812
194,38,-46.734833
195,39,-39.04596
196,39,-65.34396
197,39,-64.59369
198,39,-51.588818
199,39,-68.558815
200,40,-54.611893
201,40,-43.72106
202,40,-44.071045
203,40,-59.27723
204,40,-38.20003
205,41,-61.51582
206,41,-70.912674
207,41,-55.154865
208,41,-56.788166
209,41,-47.28853
210,42,-31.572716
211,42,-48.77626
212,42,-52.640205
213,42,-68.86425
214,42,-34.822147
215,43,-47.547146
216,43,-47.39624
217,43,-44.48644
218,43,-56.700226
219,43,-40.2871
220,44,-38.783363
221,44,-38.79268
222,44,-71.43534
223,44,-53.708168
224,44,-78.09521
225,45,-42.410324
226,45,-37.811775
227,45,-60.818356
228,45,-74.43725
229,45,-33.382202
230,46,-51.786083
231,46,-51.315872
232,46,-67.621086
233,46,-44.352848
234,46,-55.101868
235,47,-36.882828
236,47,-43.57955
237,47,-48.406242
238,47,-58.97915
239,47,-52.906307
240,48,-29.61919
241,48,-52.529713
242,48,-65.39875
243,48,-63.9465
244,48,-43.96309
245,49,-63.559376
246,49,-53.459064
247,49,-57.12112
248,49,-47.018604
249,49,-40.581596
250,50,-37.395733
251,50,-54.11003
252,50,-67.831436
253,50,-57.258205
254,50,-30.96555
255,51,-38.137234
256,51,-50.42004
257,51,-50.186806
258,51,-61.987354
259,51,-53.265575
260,52,-42.072327
261,52,-51.144913
262,52,-47.486374
263,52,-54.37726
264,52,-37.073402
265,53,-40.57207
