game_variant,algorithm,depths,starting_player,winner,time,rounds,avg_round_time
Nim,Negamax,[14  7],1,1,0.4890574002638459,14,0.034932673
Nim,Negamax,[4 3],1,2,0.10446090018376708,17,0.006144759
Nim,Negamax,[14  7],2,1,0.6386898001655936,17,0.03756999
Nim,Negamax,[4 3],2,1,0.08502970030531287,17,0.005001747
Nimby,Negamax,[14  7],1,1,0.592242100276053,18,0.032902338
Nimby,Negamax,[14  7],1,1,0.5230817003175616,16,0.032692607
Nimby,Negamax,[14  7],1,1,0.48067659977823496,14,0.03433404
Nimby,Negamax,[14  7],1,1,0.5764518999494612,16,0.036028244
Nimby,Negamax,[14  7],1,2,0.577761699911207,17,0.033985984
Nimby,Negamax,[14  7],1,1,0.5816955002956092,16,0.03635597
Nimby,Negamax,[14  7],1,1,0.5870387000031769,18,0.032613263
Nimby,Negamax,[14  7],1,1,0.5618389998562634,16,0.035114937
Nimby,Negamax,[14  7],1,1,0.4774092002771795,14,0.034100655
Nimby,Negamax,[14  7],1,2,0.5174835002981126,17,0.030440206
Nimby,Negamax,[4 3],1,2,0.11010150006040931,19,0.0057948157
Nimby,Negamax,[4 3],1,1,0.12239360017701983,18,0.0067996443
Nimby,Negamax,[4 3],1,2,0.12023569969460368,19,0.006328195
Nimby,Negamax,[4 3],1,1,0.09590629953891039,18,0.0053281276
Nimby,Negamax,[4 3],1,2,0.10950159979984164,19,0.005763242
Nimby,Negamax,[4 3],1,2,0.10835080035030842,19,0.005702674
Nimby,Negamax,[4 3],1,2,0.10429439973086119,19,0.005489179
Nimby,Negamax,[4 3],1,1,0.10043929982930422,18,0.005579961
Nimby,Negamax,[4 3],1,1,0.11213649995625019,18,0.0062298058
Nimby,Negamax,[4 3],1,2,0.09711780026555061,17,0.005712812
Nimby,Negamax,[14  7],2,1,0.7637060997076333,17,0.044923887
Nimby,Negamax,[14  7],2,2,0.6870307996869087,18,0.03816838
Nimby,Negamax,[14  7],2,2,0.6830739001743495,18,0.03794855
Nimby,Negamax,[14  7],2,2,0.6788754998706281,18,0.037715305
Nimby,Negamax,[14  7],2,1,0.6639753002673388,15,0.04426502
Nimby,Negamax,[14  7],2,2,0.6947727999649942,18,0.03859849
Nimby,Negamax,[14  7],2,2,0.6944345999509096,18,0.0385797
Nimby,Negamax,[14  7],2,2,0.6864148997701705,18,0.03813416
Nimby,Negamax,[14  7],2,1,0.7281252001412213,19,0.038322378
Nimby,Negamax,[14  7],2,1,0.6641308004036546,17,0.039066516
Nimby,Negamax,[4 3],2,1,0.11200649989768863,19,0.005895079
Nimby,Negamax,[4 3],2,1,0.10647300025448203,17,0.006263118
Nimby,Negamax,[4 3],2,1,0.1130318995565176,19,0.0059490474
Nimby,Negamax,[4 3],2,2,0.13851139973849058,20,0.00692557
Nimby,Negamax,[4 3],2,1,0.09874550020322204,17,0.005808559
Nimby,Negamax,[4 3],2,2,0.12178830010816455,18,0.0067660166
Nimby,Negamax,[4 3],2,2,0.13097150018438697,20,0.006548575
Nimby,Negamax,[4 3],2,1,0.11291039967909455,19,0.0059426525
Nimby,Negamax,[4 3],2,2,0.11339220032095909,18,0.0062995665
